Spp,Predator mass,Prey mass,log10_PPMR
Swordfish,69000,6.28,4.040889447
Swordfish,69000,5.71,4.082212982
Swordfish,69000,6.67,4.014723257
Swordfish,69000,5.83,4.073180536
Swordfish,69000,6.28,4.040889447
Swordfish,69000,2.84,4.385530751
Swordfish,69000,7.89,3.941772088
Swordfish,69000,6.9,4
Swordfish,69000,5.56,4.093774299
Swordfish,69000,5.83,4.073180536
Swordfish,69000,10,3.838849091
Swordfish,69000,3.55,4.288620738
Swordfish,69000,6.15,4.049973975
Swordfish,69000,4.93,4.146002171
Swordfish,69000,4.93,4.146002171
Swordfish,69000,4.4,4.195396414
Swordfish,69000,5.13,4.128731726
Swordfish,69000,4.64,4.17233111
Swordfish,69000,4.25,4.210460161
Swordfish,69000,6.8,4.006340178
Swordfish,69000,6.11,4.05280788
Swordfish,69000,5.91,4.06726161
Swordfish,69000,5.06,4.134698574
Swordfish,69000,4.11,4.225007269
Swordfish,69000,4.61,4.175148165
Swordfish,69000,4.93,4.146002171
Swordfish,69000,4.28,4.207405322
Swordfish,69000,5.17,4.125358548
Swordfish,69000,30.2,3.358842148
Swordfish,69000,27.8,3.394804295
Swordfish,69000,31.6,3.339162008
Swordfish,69000,32.6,3.325631491
Swordfish,69000,33,3.320335151
Swordfish,69000,35,3.294781046
Swordfish,69000,37,3.270647367
Swordfish,69000,43.5,3.200359834
Swordfish,69000,47.5,3.162155481
Swordfish,69000,56.1,3.089886229
Swordfish,69000,69.5,2.996864286
Swordfish,179000,852,2.322413436
Swordfish,179000,9.65,4.268325718
Swordfish,179000,10.2,4.244252859
Swordfish,179000,6.8,4.420344118
Swordfish,179000,6.58,4.434627137
Swordfish,179000,7.08,4.402819773
Swordfish,179000,7.84,4.358536968
Swordfish,179000,3240,1.742308021
Swordfish,179000,0.144,6.094490539
Swordfish,179000,0.144,6.094490539
Swordfish,152000,1160,2.117385599
Swordfish,152000,0.144,6.023481096
Swordfish,34300,11.3,3.482215677
Swordfish,34300,17,3.304845199
Swordfish,34300,17.9,3.282441089
Swordfish,34300,21.8,3.196837626
Swordfish,34300,23.1,3.17168214
Swordfish,34300,24,3.155082878
Swordfish,34300,25.1,3.135620399
Swordfish,34300,33.3,3.012849887
Swordfish,34300,216,2.200840369
Swordfish,34300,298,2.061077856
Swordfish,34300,314,2.038364472
Swordfish,34300,47.1,2.862273213
Swordfish,34300,33.7,3.007664219
Swordfish,34300,72.7,2.673759709
Swordfish,34300,0.144,5.376931628
Swordfish,93100,268,2.540814887
Swordfish,93100,301,2.490383185
Swordfish,93100,210,2.646730386
Swordfish,93100,216,2.63449593
Swordfish,93100,217,2.632489947
Swordfish,93100,0.144,5.810587189
Swordfish,378000,960,2.595220567
Swordfish,378000,883,2.631531096
Swordfish,378000,899,2.623732108
Swordfish,378000,553,2.834766669
Swordfish,378000,650,2.764578443
Swordfish,378000,17.1,4.344495689
Swordfish,378000,22.1,4.233099526
Swordfish,378000,32.4,4.06694679
Swordfish,378000,34,4.046012883
Swordfish,378000,35.3,4.029717094
Swordfish,378000,47.5,3.90079819
Swordfish,378000,72.7,3.715957389
Swordfish,378000,59.6,3.80224554
Swordfish,378000,847,2.64960839
Swordfish,378000,909,2.618927917
Swordfish,18300,6.19,3.470760441
Swordfish,18300,5.64,3.511171986
Swordfish,18300,7.84,3.368135027
Swordfish,18300,8.9,3.313061083
Swordfish,18300,7.23,3.403312792
Swordfish,18300,167,2.039734619
Swordfish,31300,1.95,4.205509726
Swordfish,31300,2.27,4.13951848
Swordfish,31300,2.06,4.181677117
Swordfish,31300,2.37,4.120795992
Swordfish,31300,1.61,4.288718462
Swordfish,31300,2.24,4.145296319
Swordfish,31300,2.53,4.092423816
Swordfish,31300,2.01,4.19234828
Swordfish,31300,2.08,4.177481003
Swordfish,31300,96.8,2.50966898
Swordfish,31300,23.1,3.131932358
Swordfish,31300,22.5,3.143361819
Swordfish,31300,42.7,2.865116463
Swordfish,31300,37,2.927342613
Swordfish,31300,15.3,3.310852907
Swordfish,31300,17.9,3.242691307
Swordfish,31300,18.5,3.228372609
Swordfish,31300,18.9,3.219082533
Swordfish,31300,20.3,3.1880483
Swordfish,31300,21.2,3.169208477
Swordfish,31300,21.7,3.159084604
Swordfish,31300,21.9,3.155100223
Swordfish,31300,22.5,3.143361819
Swordfish,31300,23.8,3.11896738
Swordfish,31300,24.3,3.109938064
Swordfish,31300,24.9,3.09934499
Swordfish,31300,25.1,3.095870616
Swordfish,31300,25.3,3.092423816
Swordfish,31300,25.3,3.092423816
Swordfish,31300,25.3,3.092423816
Swordfish,31300,26.2,3.077243046
Swordfish,31300,26.7,3.069033076
Swordfish,31300,27.5,3.056211644
Swordfish,31300,27.5,3.056211644
Swordfish,31300,27.7,3.053064568
Swordfish,31300,27.8,3.051499542
Swordfish,31300,28,3.048386306
Swordfish,31300,29.3,3.028676717
Swordfish,31300,29.8,3.021328073
Swordfish,31300,32.2,2.987688466
Swordfish,31300,32.5,2.983660977
Swordfish,31300,32.1,2.989039305
Swordfish,31300,33,2.977030398
Swordfish,31300,36.3,2.935637713
Swordfish,31300,39.8,2.895661265
Swordfish,31300,41.3,2.879594286
Swordfish,31300,41.3,2.879594286
Swordfish,31300,42,2.872295047
Swordfish,31300,42,2.872295047
Swordfish,31300,0.0856,5.563070573
Swordfish,87100,38.5,3.354557425
Swordfish,43300,46,2.973730065
Swordfish,43300,4.56,3.977523054
Swordfish,43300,4.72,3.962545898
Swordfish,43300,6.06,3.854015272
Swordfish,43300,6.32,3.835770818
Swordfish,43300,6.38,3.831667218
Swordfish,43300,6.92,3.796381802
Swordfish,43300,7.65,3.752826461
Swordfish,43300,8.27,3.718982387
Swordfish,43300,8.43,3.710660322
Swordfish,43300,4.77,3.957969517
Swordfish,43300,5.79,3.873809333
Swordfish,43300,7.18,3.780363452
Swordfish,43300,8,3.733397909
Swordfish,43300,8.16,3.724797738
Swordfish,43300,11.9,3.560940935
Swordfish,43300,12,3.55730665
Swordfish,43300,12.2,3.550128066
Swordfish,43300,12.7,3.532684175
Swordfish,43300,13,3.522544544
Swordfish,43300,13.3,3.512636255
Swordfish,43300,13.8,3.49660881
Swordfish,43300,14.7,3.469170562
Swordfish,43300,15.3,3.451796466
Swordfish,43300,15.4,3.448967176
Swordfish,43300,16.4,3.421644048
Swordfish,43300,16.9,3.408601192
Swordfish,43300,17,3.406038975
Swordfish,43300,17.3,3.398441793
Swordfish,43300,17.4,3.395938648
Swordfish,43300,18.3,3.374036807
Swordfish,43300,18.4,3.371670073
Swordfish,43300,19.1,3.355454529
Swordfish,43300,19.3,3.350930587
Swordfish,43300,19.8,3.339822706
Swordfish,43300,20.6,3.322620676
Swordfish,43300,22.5,3.284305378
Swordfish,43300,23.4,3.267272039
Swordfish,157000,852,2.265460058
Swordfish,157000,836,2.273693375
Swordfish,157000,12,4.116718406
Swordfish,157000,180,2.940627147
Swordfish,157000,136,3.062360744
Swordfish,157000,145,3.03453165
Swordfish,157000,1290,2.085309942
Swordfish,228000,826,2.4409548
Swordfish,228000,49.5,3.663329648
Swordfish,228000,53.9,3.626346082
Swordfish,228000,50.4,3.655504311
Swordfish,228000,59.8,3.581233663
Swordfish,166000,639,2.41460723
Swordfish,166000,639,2.41460723
Swordfish,166000,227,2.864082231
Swordfish,166000,42.5,3.591719158
Swordfish,166000,40.9,3.60838478
Swordfish,166000,25.4,3.815274371
Swordfish,166000,28.6,3.763742055
Swordfish,166000,28.9,3.759210245
Swordfish,166000,70,3.375010048
Swordfish,166000,28.2,3.76985898
Swordfish,166000,36.3,3.660201463
Swordfish,166000,49.5,3.525502889
Swordfish,166000,53.4,3.492566831
Swordfish,166000,67.9,3.388238314
Swordfish,166000,104,3.203074749
Swordfish,166000,21.7,3.883648354
Swordfish,166000,30.3,3.73866546
Swordfish,166000,32,3.71495811
Swordfish,166000,32.4,3.709563078
Swordfish,166000,33.2,3.698970004
Swordfish,166000,61.4,3.431939717
Swordfish,166000,743,2.349119274
Swordfish,202000,16,4.101231387
Swordfish,16400,22.1,2.870451574
Swordfish,16400,29.6,2.743552137
Swordfish,16400,436,1.575357359
Swordfish,16400,389,1.624894247
Swordfish,16400,228,1.856909001
Swordfish,16400,153,2.030152417
Swordfish,15800,19,2.919903486
Swordfish,15800,81.6,2.286966928
Swordfish,15800,28.9,2.737759244
Swordfish,15800,29.6,2.727365376
Swordfish,15800,32.3,2.689454565
Swordfish,15800,32.4,2.688112077
Swordfish,15800,32.4,2.688112077
Swordfish,15800,35.6,2.647207089
Swordfish,15800,36.6,2.635176002
Swordfish,15800,37.7,2.622315737
Swordfish,15800,40.2,2.594431034
Swordfish,15800,41.6,2.579563756
Swordfish,15800,42.4,2.57129123
Swordfish,15800,47.5,2.521963477
Swordfish,15800,53.4,2.47111583
Swordfish,15800,90.5,2.242008508
Swordfish,15800,11.4,3.141752236
Swordfish,15800,0.205,4.886903226
Swordfish,15800,0.193,4.913099778
Swordfish,15800,0.204,4.88902692
Swordfish,15800,40.5,2.591202064
Swordfish,15800,27.6,2.757748005
Swordfish,157000,16.6,3.975791564
Swordfish,157000,204,2.886269485
Swordfish,30400,57.3,2.724718962
Swordfish,30400,18,3.227601079
Swordfish,30400,19.5,3.192838972
Swordfish,30400,11.5,3.422175743
Swordfish,30400,4.83,3.798926453
Swordfish,30400,2.03,4.175377546
Swordfish,30400,21.6,3.148419832
Swordfish,30400,5.31,3.757779063
Swordfish,30400,5.53,3.740148452
Swordfish,30400,5.6,3.734685557
Swordfish,30400,6.49,3.670628887
Swordfish,30400,6.71,3.656151063
Swordfish,30400,6.99,3.638396408
Swordfish,30400,7.84,3.588557521
Swordfish,30400,8.61,3.547870432
Swordfish,30400,10.6,3.457567718
Swordfish,30400,11,3.441480898
Swordfish,30400,30.5,2.998573744
Swordfish,30400,57.5,2.723205739
Swordfish,30400,154,2.295352863
Swordfish,87100,278,2.495973359
Swordfish,87100,268,2.511883361
Swordfish,87100,193,2.654460846
Swordfish,87100,278,2.495973359
Swordfish,260000,2020,2.109621979
Swordfish,260000,333,2.892529114
Swordfish,260000,17,4.184524427
Swordfish,260000,19.8,4.118308158
Swordfish,260000,241,3.032956305
Swordfish,260000,419,2.792759325
Swordfish,260000,71.4,3.561275136
Swordfish,260000,1360,2.28143444
Swordfish,260000,2080,2.096910013
Swordfish,260000,31,3.923611654
Swordfish,260000,148,3.244711633
Swordfish,260000,154,3.227452627
Swordfish,260000,2.11,5.090690893
Swordfish,220000,13.2,4.22184875
Swordfish,210000,3.82,4.740155932
Swordfish,210000,4.67,4.652902414
Swordfish,210000,6.01,4.543344823
Swordfish,210000,3.37,4.794589394
Swordfish,210000,2.7,4.890855531
Swordfish,210000,4.32,4.686735548
Swordfish,210000,140,3.176091259
Swordfish,210000,28.7,3.864337398
Swordfish,210000,1790,2.069366264
Swordfish,210000,2810,1.873512975
Swordfish,19700,0.986,4.300589311
Swordfish,173000,89.8,3.284769766
Swordfish,173000,48.4,3.553200741
Swordfish,173000,16.4,4.023202255
Swordfish,173000,16.5,4.020562159
Swordfish,21900,18.8,3.066286266
Swordfish,21900,19.4,3.052642385
Swordfish,21900,21,3.01822482
Swordfish,217000,287,2.878577837
Swordfish,28500,43.6,2.815358371
Swordfish,28500,45.6,2.795880017
Swordfish,28500,59,2.683992848
Swordfish,28500,5.21,3.738007137
Swordfish,110000,50.3,3.3398247
Swordfish,110000,6.08,4.257489106
Swordfish,110000,8.57,4.108411863
Swordfish,110000,8.94,4.090055166
Swordfish,110000,9.01,4.086667894
Swordfish,110000,9.7,4.054620951
Swordfish,110000,6.41,4.234534656
Swordfish,110000,6.54,4.225814937
Swordfish,110000,7.33,4.176288711
Swordfish,213000,98.1,3.336710596
Swordfish,213000,82.4,3.412452392
Swordfish,213000,155,3.138047905
Swordfish,213000,113,3.27530116
Swordfish,213000,98.1,3.336710596
Swordfish,213000,20.6,4.014512383
Swordfish,213000,30.6,3.842658177
Swordfish,213000,36.4,3.76727822
Swordfish,213000,1240,2.234957918
Swordfish,213000,1950,2.038344992
Swordfish,213000,2540,1.923545887
Swordfish,213000,194,3.040577874
Swordfish,213000,63.9,3.522878745
Swordfish,213000,75.4,3.451008258
Swordfish,213000,110,3.286986918
Swordfish,213000,222,2.982026629
Swordfish,213000,234,2.959163746
Swordfish,213000,255,2.921839423
Swordfish,213000,74.6,3.455640776
Swordfish,213000,150,3.152288344
Swordfish,213000,183,3.065928514
Swordfish,213000,206,3.014512383
Swordfish,213000,208,3.010316268
Swordfish,213000,274,2.890629041
Swordfish,62500,23.3,3.428524096
Swordfish,115000,42,3.43744855
Swordfish,115000,10.4,4.043664501
Swordfish,115000,11.2,4.011479818
Swordfish,115000,15,3.884606581
Swordfish,115000,18.4,3.795880017
Swordfish,115000,20.1,3.757501783
Swordfish,115000,418,2.439521559
Swordfish,115000,1270,1.956894119
Swordfish,256000,20,4.10720997
Swordfish,256000,27.7,3.965760196
Swordfish,256000,46.3,3.742658974
Swordfish,256000,47.5,3.731546356
Swordfish,256000,54.7,3.670252639
Swordfish,256000,29.3,3.941372345
Swordfish,256000,530,2.683964096
Swordfish,256000,798,2.506237074
Swordfish,256000,433,2.771752069
Swordfish,256000,714,2.554541754
Swordfish,256000,821,2.493896808
Swordfish,256000,832,2.488116639
Swordfish,256000,972,2.4205737
Swordfish,256000,1220,2.321880135
Swordfish,256000,1420,2.255951621
Swordfish,256000,2180,2.069783472
Swordfish,199000,36.9,3.73182671
Swordfish,199000,43.1,3.664375806
Swordfish,28500,37.7,2.87850351
Swordfish,28500,53,2.73056899
Swordfish,28500,68.9,2.616625638
Swordfish,28500,73.2,2.590333779
Swordfish,28500,100,2.45484486
Swordfish,28500,27.5,3.015512166
Swordfish,127000,1160,2.039345732
Swordfish,127000,985,2.11036749
Swordfish,127000,12,4.024622475
Swordfish,127000,20.5,3.79204986
Swordfish,127000,216,2.76934997
Swordfish,127000,216,2.76934997
Swordfish,127000,12.4,4.010382036
Swordfish,127000,146,2.939450865
Swordfish,127000,64.5,3.294244006
Swordfish,127000,54.5,3.367407219
Swordfish,127000,29.2,3.63842087
Swordfish,127000,40.9,3.492080413
Swordfish,127000,47.9,3.423468208
Swordfish,127000,42,3.480554431
Swordfish,127000,54.3,3.369003891
Swordfish,127000,59.9,3.326376899
Swordfish,127000,21.6,3.76934997
Swordfish,127000,24.7,3.711106768
Swordfish,127000,26.7,3.67729246
Swordfish,127000,27.3,3.667641074
Swordfish,127000,27.9,3.658199518
Swordfish,127000,27.9,3.658199518
Swordfish,127000,30.7,3.616665345
Swordfish,127000,32.1,3.597298689
Swordfish,127000,32.9,3.586607823
Swordfish,127000,39.4,3.508307499
Swordfish,127000,44.3,3.457399995
Swordfish,127000,50.9,3.397085939
Swordfish,127000,180,2.848531216
Swordfish,199000,3.72,4.728310137
Swordfish,199000,6.88,4.461264638
Swordfish,199000,9.38,4.326650238
Swordfish,199000,7.17,4.443333921
Swordfish,199000,7.29,4.436125548
Swordfish,199000,5.12,4.589583115
Swordfish,199000,23.3,3.931497155
Swordfish,199000,9.59,4.317034469
Swordfish,199000,7.84,4.404537014
Swordfish,199000,10.8,4.265429321
Swordfish,199000,6.99,4.454375901
Swordfish,199000,9.45,4.323421268
Swordfish,199000,6.27,4.501585536
Swordfish,199000,4.9,4.608656996
Swordfish,199000,6.49,4.48660838
Swordfish,199000,7.29,4.436125548
Swordfish,199000,6.65,4.476031431
Swordfish,199000,5.9,4.528001065
Swordfish,199000,23.4,3.929637219
Swordfish,199000,30.7,3.811714701
Swordfish,199000,31,3.807491383
Swordfish,199000,61.3,3.511392602
Swordfish,199000,38,3.71906948
Swordfish,199000,39.8,3.698970004
Swordfish,199000,39.8,3.698970004
Swordfish,199000,45.9,3.637040391
Swordfish,199000,47.1,3.625832169
Swordfish,199000,56.1,3.549890215
Swordfish,199000,63.8,3.494032398
Swordfish,199000,67.4,3.47019318
Swordfish,199000,68.4,3.463796975
Swordfish,199000,1040,2.281819737
Swordfish,272000,206,3.120701684
Swordfish,272000,127,3.330765183
Swordfish,272000,45.7,3.774652704
Swordfish,272000,33.9,3.904369206
Swordfish,272000,29.1,3.970675915
Swordfish,272000,29.8,3.96035264
Swordfish,272000,29.9,3.958897716
Swordfish,272000,37,3.86636718
Swordfish,272000,37.3,3.862860072
Swordfish,272000,39.4,3.839072682
Swordfish,272000,41.3,3.818618852
Swordfish,272000,44.3,3.788165178
Swordfish,272000,46.7,3.765252023
Swordfish,272000,46.7,3.765252023
Swordfish,272000,46.7,3.765252023
Swordfish,272000,47.9,3.754233391
Swordfish,272000,56.6,3.681752473
Swordfish,272000,64.8,3.622993898
Swordfish,272000,71.6,3.579655882
Swordfish,272000,48.5,3.748827165
Swordfish,272000,7.44,4.562995968
Swordfish,272000,306,2.948847478
Swordfish,272000,4590,1.772756218
Swordfish,138000,245,2.750713002
Swordfish,138000,52.2,3.422208583
Swordfish,138000,107,3.110495309
Swordfish,141000,15.6,3.956094514
Swordfish,141000,10.5,4.128029814
Swordfish,141000,12.9,4.038629402
Swordfish,141000,14.2,3.996930768
Swordfish,141000,16.6,3.929111025
Swordfish,141000,14.8,3.978957397
Swordfish,141000,9.09,4.190655229
Swordfish,141000,13.6,4.015680204
Swordfish,141000,19.3,3.863661804
Swordfish,141000,9.74,4.160660156
Swordfish,141000,12.8,4.042009143
Swordfish,141000,12.6,4.048848568
Swordfish,141000,12.4,4.055797427
Swordfish,141000,8.75,4.20721106
Swordfish,141000,18.6,3.879706168
Swordfish,141000,12.6,4.048848568
Swordfish,141000,18.5,3.882047384
Swordfish,141000,15.3,3.964527682
Swordfish,141000,17.4,3.908669864
Swordfish,141000,19.8,3.852553922
Swordfish,141000,17.3,3.91117301
Swordfish,141000,10.1,4.144897739
Swordfish,141000,24.1,3.76720207
Swordfish,141000,24.2,3.765403747
Swordfish,141000,11,4.107826427
Swordfish,141000,8.55,4.217252998
Swordfish,141000,8.96,4.196911103
Swordfish,141000,5.41,4.416021848
Swordfish,141000,13.5,4.018885344
Swordfish,141000,12.7,4.045415392
Swordfish,141000,273,2.713056466
Swordfish,141000,248,2.754767432
Swordfish,141000,95.7,3.168307175
Swordfish,141000,40.2,3.54499306
Swordfish,141000,45.1,3.495042571
Swordfish,141000,71.6,3.29430609
Swordfish,141000,65.8,3.330993219
Swordfish,40900,16,3.407603325
Swordfish,40900,17.1,3.378727198
Swordfish,40900,19.1,3.330689941
Swordfish,40900,21.6,3.277269557
Swordfish,40900,24.9,3.215523961
Swordfish,40900,29.8,3.137507044
Swordfish,40900,92.3,2.646521607
Swordfish,40900,42.9,2.979266016
Swordfish,40900,36.6,3.048242223
Swordfish,40900,62.3,2.817235261
Swordfish,22600,0.53,4.62983257
Swordfish,22600,0.507,4.64910048
Swordfish,17000,9.71,3.243229691
Swordfish,17000,18.5,2.963277193
Swordfish,17000,16.9,3.002562217
Swordfish,17000,23.6,2.857536918
Swordfish,17000,20.2,2.925097552
Swordfish,17000,18.9,2.953987117
Swordfish,202000,707,2.455931956
Swordfish,202000,4.99,4.607250824
Swordfish,202000,25.6,3.897111404
Swordfish,202000,28.2,3.855102261
Swordfish,202000,28.5,3.850506509
Swordfish,202000,30.4,3.822477786
Swordfish,202000,31.5,3.807040816
Swordfish,202000,32.6,3.792133769
Swordfish,202000,32.7,3.790803617
Swordfish,202000,33.2,3.784213286
Swordfish,202000,34.3,3.770057249
Swordfish,202000,49.1,3.614269877
Swordfish,202000,70.5,3.457162252
Swordfish,202000,77.2,3.417734069
Swordfish,202000,85.5,3.373385255
Swordfish,202000,104,3.28831803
Swordfish,202000,123,3.215446258
Swordfish,202000,22.4,3.955103351
Swordfish,202000,38.7,3.717640404
Swordfish,202000,44.3,3.658947643
Swordfish,202000,62.3,3.510863323
Swordfish,202000,66.8,3.480574907
Swordfish,202000,148,3.135089654
Swordfish,202000,561,2.556388508
Swordfish,202000,1070,2.275967592
Swordfish,202000,1430,2.150015332
Swordfish,19000,22.6,2.924645162
Swordfish,19000,27,2.847389837
Swordfish,19000,27.8,2.834708805
Swordfish,19000,28.1,2.830047281
Swordfish,19000,28.9,2.817855758
Swordfish,19000,29.1,2.814860612
Swordfish,19000,29.8,2.804537337
Swordfish,19000,30.3,2.797310972
Swordfish,19000,31.3,2.783209263
Swordfish,19000,32.2,2.770897729
Swordfish,19000,33.3,2.756309367
Swordfish,19000,45.5,2.620742204
Swordfish,19000,54.7,2.540766275
Swordfish,19000,57.5,2.519085756
Swordfish,19000,68.9,2.440534379
Swordfish,19000,80.1,2.375121085
Swordfish,19000,330,1.760239661
Swordfish,19000,51.4,2.567790482
Swordfish,19000,59.1,2.50716612
Swordfish,19000,0.109,5.241327103
Swordfish,17700,59.6,2.472727007
Swordfish,91000,7.14,4.105343181
Swordfish,91000,273,2.522878745
Swordfish,91000,847,2.031157982
Swordfish,166000,204,2.910477921
Swordfish,166000,216,2.885654337
Swordfish,166000,216,2.885654337
Swordfish,166000,278,2.776063292
Swordfish,152000,117,3.113657726
Swordfish,152000,28.8,3.7224511
Swordfish,152000,29.1,3.717950599
Swordfish,152000,31.6,3.682156505
Swordfish,152000,48.3,3.497896457
Swordfish,152000,172,2.946315141
Swordfish,152000,652,2.367595992
Swordfish,152000,2110,1.857561133
Swordfish,152000,2390,1.803445687
Swordfish,152000,2790,1.736239385
Swordfish,152000,275,2.742510894
Swordfish,152000,598,2.405142404
Swordfish,152000,2480,1.787391907
Swordfish,152000,214,2.851429815
Swordfish,152000,486,2.495207319
Swordfish,20400,21.9,2.969186053
Swordfish,20400,25.2,2.908229627
Swordfish,20400,29,2.84723217
Swordfish,20400,37.3,2.737921336
Swordfish,20400,47.9,2.629294654
Swordfish,20400,48.3,2.625683037
Swordfish,20400,49.5,2.615024968
Swordfish,20400,68.4,2.474574066
Swordfish,20400,76.6,2.425401398
Swordfish,20400,79.5,2.409263039
Swordfish,20400,85.5,2.377664053
Swordfish,20400,87.4,2.368118735
Swordfish,20400,89.2,2.359265313
Swordfish,20400,103,2.296792943
Swordfish,20400,65.6,2.492726328
Swordfish,20400,55,2.569267478
Swordfish,20400,214,1.979216394
Swordfish,23400,46.1,2.705514932
Swordfish,138000,216,2.805425335
Swordfish,138000,216,2.805425335
Swordfish,138000,25.3,3.736758565
Swordfish,138000,31.4,3.642949438
Swordfish,138000,31.9,3.636088403
Swordfish,138000,40.5,3.532424063
Swordfish,138000,48.3,3.455931956
Swordfish,138000,70,3.294781046
Swordfish,138000,75.5,3.261932135
Swordfish,152000,903,2.226155838
Swordfish,152000,296,2.710551877
Swordfish,152000,296,2.710551877
Swordfish,152000,238,2.805266631
Swordfish,152000,238,2.805266631
Swordfish,152000,248,2.787391907
Swordfish,152000,181,2.924165013
Swordfish,152000,15.5,3.99151189
Swordfish,152000,27.9,3.736239385
Swordfish,152000,33.2,3.660705504
Swordfish,152000,260,2.76687024
Swordfish,37500,38.6,2.987443963
Swordfish,37500,33.1,3.054203274
Swordfish,37500,59.4,2.800244823
Swordfish,37500,70.5,2.725842151
Swordfish,37500,116,2.509573279
Swordfish,277000,1070,2.413095991
Swordfish,277000,33.8,3.913563069
Swordfish,277000,298,2.968263505
Swordfish,277000,359,2.88738532
Swordfish,277000,22.1,4.098087495
Swordfish,277000,24.7,4.049782816
Swordfish,277000,29.1,3.97858678
Swordfish,277000,29.3,3.975612149
Swordfish,277000,32.6,3.929262169
Swordfish,277000,32.7,3.927932016
Swordfish,277000,33.1,3.922651775
Swordfish,277000,33.7,3.914849868
Swordfish,277000,34.6,3.90340367
Swordfish,277000,52.1,3.725642046
Swordfish,277000,59.9,3.665052947
Swordfish,277000,59.8,3.665778585
Swordfish,277000,392,2.849193702
Swordfish,81300,38.5,3.324629816
Swordfish,81300,46.1,3.24638962
